sep=\t
Module Resource Usage Distribution Estimates
Generated at: Jan 09, 2023 13:01:56

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
    +uartCtrl_1:UartCtrl_4fa4d9d985cd43beaba128f90ce51c31   	     66(21)	       0(0)	     27(21)	    108(30)	     0(0)	     0(0)	     0(0)	
     +tx:UartCtrlTx_4fa4d9d985cd43beaba128f90ce51c31        	     11(11)	       0(0)	       0(0)	     30(30)	     0(0)	     0(0)	     0(0)	
     +rx:UartCtrlRx_4fa4d9d985cd43beaba128f90ce51c31        	     34(32)	       0(0)	       6(6)	     48(48)	     0(0)	     0(0)	     0(0)	
      +io_rxd_buffercc:BufferCC_4fa4d9d985cd43beaba128f90ce51c31	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +bridge_write_streamUnbuffered_queueWithOccupancy:StreamFifo_2_4fa4d9d985cd43beaba128f90ce51c31	     16(16)	       0(0)	     22(22)	     18(18)	     0(0)	     1(1)	     0(0)	
    +uartCtrl_1_io_read_queueWithOccupancy:StreamFifo_2_4fa4d9d985cd43beaba128f90ce51c31	     16(16)	       0(0)	     22(22)	     15(15)	     0(0)	     1(1)	     0(0)	
   +system_spi_0_io_logic:BmbSpiXdrMasterCtrl_4fa4d9d985cd43beaba128f90ce51c31	   171(103)	       0(0)	      61(0)	    182(83)	     0(0)	     2(0)	     0(0)	
    +ctrl:TopLevel_4fa4d9d985cd43beaba128f90ce51c31         	     32(32)	       0(0)	     11(11)	     69(69)	     0(0)	     0(0)	     0(0)	
    +mapping_cmdLogic_streamUnbuffered_queueWithAvailability:StreamFifo_4_4fa4d9d985cd43beaba128f90ce51c31	     18(18)	       0(0)	     25(25)	     15(15)	     0(0)	     1(1)	     0(0)	
    +ctrl_io_rsp_queueWithOccupancy:StreamFifo_5_4fa4d9d985cd43beaba128f90ce51c31	     18(18)	       0(0)	     25(25)	     15(15)	     0(0)	     1(1)	     0(0)	
   +system_userTimer_0_logic:EfxTimerCtrl_4fa4d9d985cd43beaba128f90ce51c31	    120(79)	       0(0)	      39(0)	    103(73)	     0(0)	     0(0)	     0(0)	
    +prescaler_1:Prescaler_4fa4d9d985cd43beaba128f90ce51c31 	       8(8)	       0(0)	       7(7)	       6(6)	     0(0)	     0(0)	     0(0)	
    +timer_1:Timer_4fa4d9d985cd43beaba128f90ce51c31         	     33(33)	       0(0)	     32(32)	     24(24)	     0(0)	     0(0)	     0(0)	
   +system_gpio_0_io_logic:BmbGpio2_4fa4d9d985cd43beaba128f90ce51c31	     34(34)	       0(0)	       0(0)	     33(33)	     0(0)	     0(0)	     0(0)	
   +io_apbSlave_0_logic:BmbToApb3Bridge_4fa4d9d985cd43beaba128f90ce51c31	     37(37)	       0(0)	       0(0)	     11(11)	     0(0)	     0(0)	     0(0)	
 +edb_top_inst:edb_top                                      	   592(592)	     12(12)	   114(114)	   807(807)	     0(0)	   26(26)	     0(0)	
