sep=\t
Module Resource Usage Distribution Estimates
Generated at: Mar 07, 2023 02:30:50

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
   +system_hardJtag_debug_logic_debugger:SystemDebugger_f7e8d09faee74d1abffbda5156fa885b	     73(73)	       1(1)	       0(0)	     24(24)	     0(0)	     0(0)	     0(0)	
   +bufferCC_8:BufferCC_5_f7e8d09faee74d1abffbda5156fa885b  	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
   +system_bridge_bmb_arbiter:BmbArbiter_f7e8d09faee74d1abffbda5156fa885b	       8(0)	       0(0)	       0(0)	     127(0)	     0(0)	     0(0)	     0(0)	
    +memory_arbiter:StreamArbiter_f7e8d09faee74d1abffbda5156fa885b	       8(8)	       0(0)	       0(0)	   127(127)	     0(0)	     0(0)	     0(0)	
   +system_axiA_logic_bmbToAxiBridge:BmbToAxi4SharedBridge_f7e8d09faee74d1abffbda5156fa885b	     71(19)	       0(0)	       0(0)	    101(32)	     0(0)	     0(0)	     0(0)	
    +writeCmdInfo_fifo:StreamFifo_f7e8d09faee74d1abffbda5156fa885b	     26(26)	       0(0)	       0(0)	     36(36)	     0(0)	     0(0)	     0(0)	
    +readCmdInfo_fifo:StreamFifo_f7e8d09faee74d1abffbda5156fa885b	     26(26)	       0(0)	       0(0)	     33(33)	     0(0)	     0(0)	     0(0)	
   +system_bridge_bmb_decoder:BmbDecoder_1_f7e8d09faee74d1abffbda5156fa885b	     13(13)	       0(0)	     15(15)	     75(75)	     0(0)	     0(0)	     0(0)	
   +bmbDecoder_4:BmbDecoder_2_f7e8d09faee74d1abffbda5156fa885b	       9(9)	       0(0)	     15(15)	     14(14)	     0(0)	     0(0)	     0(0)	
   +system_ramA_logic:BmbOnChipRam_f7e8d09faee74d1abffbda5156fa885b	       3(3)	       0(0)	       0(0)	   128(128)	     0(0)	 192(192)	     0(0)	
   +system_bmbPeripheral_bmb_decoder:BmbDecoder_3_f7e8d09faee74d1abffbda5156fa885b	     80(80)	       0(0)	       0(0)	   143(143)	     0(0)	     0(0)	     0(0)	
   +system_clint_logic:BmbClint_f7e8d09faee74d1abffbda5156fa885b	   166(166)	       0(0)	     63(63)	   156(156)	     0(0)	     0(0)	     0(0)	
   +system_uart_0_io_logic:BmbUartCtrl_f7e8d09faee74d1abffbda5156fa885b	    162(64)	       0(0)	      71(0)	    189(46)	     0(0)	     2(0)	     0(0)	
    +uartCtrl_1:UartCtrl_f7e8d09faee74d1abffbda5156fa885b   	     66(21)	       0(0)	     27(21)	    111(30)	     0(0)	     0(0)	     0(0)	
     +tx:UartCtrlTx_f7e8d09faee74d1abffbda5156fa885b        	     11(11)	       0(0)	       0(0)	     32(32)	     0(0)	     0(0)	     0(0)	
     +rx:UartCtrlRx_f7e8d09faee74d1abffbda5156fa885b        	     34(32)	       0(0)	       6(6)	     49(49)	     0(0)	     0(0)	     0(0)	
      +io_rxd_buffercc:BufferCC_f7e8d09faee74d1abffbda5156fa885b	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +bridge_write_streamUnbuffered_queueWithOccupancy:StreamFifo_2_f7e8d09faee74d1abffbda5156fa885b	     16(16)	       0(0)	     22(22)	     17(17)	     0(0)	     1(1)	     0(0)	
    +uartCtrl_1_io_read_queueWithOccupancy:StreamFifo_2_f7e8d09faee74d1abffbda5156fa885b	     16(16)	       0(0)	     22(22)	     15(15)	     0(0)	     1(1)	     0(0)	
   +system_spi_0_io_logic:BmbSpiXdrMasterCtrl_f7e8d09faee74d1abffbda5156fa885b	   171(103)	       0(0)	      61(0)	    162(62)	     0(0)	     2(0)	     0(0)	
    +ctrl:TopLevel_f7e8d09faee74d1abffbda5156fa885b         	     32(32)	       0(0)	     11(11)	     71(71)	     0(0)	     0(0)	     0(0)	
    +mapping_cmdLogic_streamUnbuffered_queueWithAvailability:StreamFifo_4_f7e8d09faee74d1abffbda5156fa885b	     18(18)	       0(0)	     25(25)	     14(14)	     0(0)	     1(1)	     0(0)	
    +ctrl_io_rsp_queueWithOccupancy:StreamFifo_5_f7e8d09faee74d1abffbda5156fa885b	     18(18)	       0(0)	     25(25)	     15(15)	     0(0)	     1(1)	     0(0)	
   +system_userTimer_0_logic:EfxTimerCtrl_f7e8d09faee74d1abffbda5156fa885b	    120(79)	       0(0)	      39(0)	    114(86)	     0(0)	     0(0)	     0(0)	
    +prescaler_1:Prescaler_f7e8d09faee74d1abffbda5156fa885b 	       8(8)	       0(0)	       7(7)	       6(6)	     0(0)	     0(0)	     0(0)	
    +timer_1:Timer_f7e8d09faee74d1abffbda5156fa885b         	     33(33)	       0(0)	     32(32)	     22(22)	     0(0)	     0(0)	     0(0)	
   +system_gpio_0_io_logic:BmbGpio2_f7e8d09faee74d1abffbda5156fa885b	     34(34)	       0(0)	       0(0)	     35(35)	     0(0)	     0(0)	     0(0)	
   +io_apbSlave_0_logic:BmbToApb3Bridge_f7e8d09faee74d1abffbda5156fa885b	     37(37)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
